FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH,Cluster 03,ABZ III,10719,Ludwigkirchplatz 7,11,,15,2,0,,GESELLSCHAFT FÜR GRUNDSTÜCKSVERWALTUNG UND AUSSENHANDEL MBH - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Gesine Mielke Eigentümerin,Cluster 03,ABZ III,10629,Mommsenstraße 21,38,46,,3,,0,Gesine Mielke Eigentümerin - Cluster 03 (N1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
GFG Hausverwaltungsgesellschaft mbH,V_Polygon 76.1,,10119,Fehrbelliner Straße 35,24,24,,2,,2,GFG Hausverwaltungsgesellschaft mbH - V_Polygon 76.1 - 26 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
GG Elzbieta Ziolkowski u.a. – Akazienstr. 30 vertreten durch Magdalena Takacs,V_Polygon 2.5,ABZ IV,10823,Akazienstraße 30,28,19,28,5,5,,GG Elzbieta Ziolkowski - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
GIV Garant Immobilienverwaltung GmbH,V_Polygon 139.2,,12045,Fuldastraße 20,0,8,,0,,,GIV Garant Immobilienverwaltung GmbH  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.2,Neukölln,Neukölln
GIV Garant Immobilienverwaltung GmbH,V_Polygon 139.1-5 (Ausdehnung),,12045,Fuldastraße 19,17,8,,0,,,GIV Garant Immobilienverwaltung GmbH  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
GIV Garant Immobilienverwaltung GmbH,V_Polygon 139.1-5 (Ausdehnung),,12045,Weserstraße 180,15,20,,2,,,GIV Garant Immobilienverwaltung GmbH  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
GIV Garant Immobilienverwaltung GmbH,V_Polygon 139.1-5 (Ausdehnung),,12045,Weserstraße 179,17,20,,1,,,GIV Garant Immobilienverwaltung GmbH  - V_Polygon 139.2 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
Grabsch Verwaltungs GmbH,V_Polygon 6.1-3 (Ausdehnung),,14059,Schloßstraße 67A,8,23,23,0,0,0,GRABSCH VERWALTUNGS GMBH - V_Polygon 6.3 - 23 - WEG - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Gräf Immobilien e.K.,V_Polygon 6.1-3 (Ausdehnung),,14057,Leonhardtstraße 11,33,35,,5,,,Gräf Immobilien e.K. - V_Polygon 6.2 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
