FTTB-Account (WoWi): Accountname  ↑,Cluster  ↓,Ausbauzustand,Postleitzahl,Adresse,Private Wohneinheiten (U),Private Wohneinheiten (S),Private Wohneinheiten (O),Gewerbeeinheiten (U),Gewerbeeinheiten (O),Gewerbeeinheiten (S),FTTB-Opportunity (WoWi),Cluster Name,Bezirk,Quartier
HKL Schönberg e.K,V_Polygon 6.1-3 (Ausdehnung),,14057,Friedbergstraße 38,16,10,9,0,1,,HKL Schönberg e.K - V_Polygon 6.2 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
HKL Schönberg e.K,V_Polygon 6.1-3 (Ausdehnung),,14057,Friedbergstraße 36,13,6,5,1,1,,HKL Schönberg e.K - V_Polygon 6.2 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
HKL Schönberg e.K,V_Polygon 6.1-3 (Ausdehnung),,14057,Suarezstraße 39A,13,6,5,0,1,,HKL Schönberg e.K - V_Polygon 6.2 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
HKL Schönberg e.K,V_Polygon 6.1-3 (Ausdehnung),,10627,Kantstraße 90,31,27,24,6,3,,HKL Schönberg e.K - V_Polygon 6.2 (A1) - 24 - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
HKL Schönberg e.K,V_Polygon 32.1 (Ausdehnung),,10245,Wismarplatz 4,0,,8,0,0,,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Krossener Straße 1,16,14,12,1,1,1,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Gryphiusstraße 20,0,,11,0,1,,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Boxhagener Straße 44,20,14,12,0,3,2,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Boxhagener Straße 43,26,28,26,2,3,2,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Boxhagener Straße 42,22,28,22,2,3,3,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Seumestraße 15,20,18,16,0,3,2,HKL Schönberg e.K - V_Polygon 32.1 (A1) - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,V_Polygon 32.1,,10245,Wühlischstraße 57,17,25,20,3,3,2,HKL Schönberg e.K - V_Polygon 32.1 (A1) - 20 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
HKL Schönberg e.K,Cluster 40,ABZ V,12627,Stendaler Straße 28,11,20,12,4,8,,HKL Schönberg e.K - Cluster 40 - verloren,Cluster 40,Marzahn-Hellersdorf,Hellersdorf
HKL Schönberg e.K,Cluster 40,ABZ V,12627,Quedlinburger Straße 4,6,7,6,1,1,,HKL Schönberg e.K - Cluster 40 - verloren,Cluster 40,Marzahn-Hellersdorf,Hellersdorf
HKL Schönberg e.K,Cluster 40,ABZ V,12627,Janusz-Korczak-Straße 31,13,14,12,2,3,,HKL Schönberg e.K - Cluster 40 - verloren,Cluster 40,Marzahn-Hellersdorf,Hellersdorf
HKL Schönberg e.K,Cluster 40,ABZ V,12627,Quedlinburger Straße 6,13,14,12,0,2,,HKL Schönberg e.K - Cluster 40 - verloren,Cluster 40,Marzahn-Hellersdorf,Hellersdorf
HKL Schönberg e.K,Cluster 40,ABZ V,12627,Stendaler Straße 26,13,12,12,3,1,,HKL Schönberg e.K - Cluster 40 - verloren,Cluster 40,Marzahn-Hellersdorf,Hellersdorf
Hoberg & Reiche Hausverwaltung GmbH,V_Polygon 24.1 (Ausdehnung),,10785,Kluckstraße 10,13,,13,0,0,,Hoberg & Reiche Hausverwaltung GmbH - V_Polygon 24.1 - 27 (A1) - verloren,V_Polygon 24.1 (Ausdehnung),Mitte,Tiergarten
Hoberg & Reiche Hausverwaltung GmbH,V_Polygon 24.1 (Ausdehnung),,10785,Kluckstraße 8,14,,14,2,0,,Hoberg & Reiche Hausverwaltung GmbH - V_Polygon 24.1 - 27 (A1) - verloren,V_Polygon 24.1 (Ausdehnung),Mitte,Tiergarten
Hoberg & Reiche Hausverwaltung GmbH,V_Polygon 22.8,ABZ IV,12163,Markelstraße 11,9,24,19,3,0,1,Hoberg & Reiche Hausverwaltung GmbH - Cluster 64 - verloren,V_Polygon 22.8,Steglitz-Zehlendorf,Steglitz
Hoberg & Reiche Hausverwaltung GmbH,Cluster 22,,12161,Südwestkorso 63A,7,15,15,1,0,,Hoberg & Reiche Hausverwaltung GmbH - Cluster 22 - 15 (A1) - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hoberg & Reiche Hausverwaltung GmbH,Cluster 22,,12159,Hähnelstraße 12,9,14,13,0,0,,Hoberg & Reiche Hausverwaltung GmbH - Cluster 22 - 13 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
Hoberg & Reiche Hausverwaltung GmbH,Cluster 02,,10825,Berchtesgadener Straße 15,11,12,13,0,0,,Hoberg & Reiche Hausverwaltung GmbH - Cluster 02 - 30 WE - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hochheiden Hausverwaltung GmbH,V_Polygon 80.1-2 (Ausdehnung),,10551,Turmstraße 37,26,28,25,1,0,,Andreas Reitzig Eigentümer - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
Hoffmann Verwaltung,Cluster 02,,10781,Goltzstraße 40A,35,10,,0,,2,Hoffmann Verwaltung - Cluster 02 - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Hoffnungstaler Stiftung Lobetal Hausverwaltung,Cluster 05,ABZ IV,10717,Pfalzburger Straße 28,11,,,3,,,Hoffnungstaler Stiftung Lobetal Hausverwaltung -Cluster 05 -11 - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Hoffnungstaler Stiftung Lobetal Hausverwaltung,Cluster 05,ABZ III,10717,Bundesallee 34,25,33,,1,,1,Hoffnungstaler Stiftung Lobetal Hausverwaltung - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Hoffnungstaler Stiftung Lobetal Hausverwaltung,Cluster 05,ABZ III,10717,Bundesallee 33,61,,,1,,1,Hoffnungstaler Stiftung Lobetal Hausverwaltung - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
Holger Schneider Hausverwaltung,Cluster 03,ABZ III,10719,Pariser Straße 5,20,39,,3,,3,Holger Schneider Hausverwaltung - Cluster 03 - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Wilmersdorf
Hopke Haus- & Grundstücksverwaltungsgesellschaft mbH,V_Polygon 80.2,,10555,Levetzowstraße 16A,11,24,,0,,,Hopke Haus- & Grundstücksverwaltungsgesellschaft mbH - V_Polygon 80.2 (A1) + 41 - verloren,V_Polygon 80.2,Mitte,Moabit
HUS ImmobilienCenter Real Estate & Properties,Cluster 83,,10585,Otto-Suhr-Allee 107,28,28,28,1,4,4,HUS ImmobilienCenter Real Estate & Properties - Cluster 83 - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
IBCI – Immobilienbetreuung Cornelia Israel,V_Polygon 76.1,,10119,Fehrbelliner Straße 46,38,38,,1,,,IBCI – Immobilienbetreuung Cornelia Israel - V_Polygon 76.1 - 51 - verloren,V_Polygon 76.1,Mitte,Mitte
IBCI – Immobilienbetreuung Cornelia Israel,V_Polygon 76.1,,10119,Fehrbelliner Straße 47A,13,13,,1,,1,IBCI – Immobilienbetreuung Cornelia Israel - V_Polygon 76.1 - 51 - verloren,V_Polygon 76.1,Mitte,Mitte
ICP Immobilia Concept Property Management GmbH,V_Polygon 32.2,,10247,Bänschstraße 89,10,12,12,0,1,1,ICP Immobilia Concept Property Management GmbH  - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
ICP Immobilia Concept Property Management GmbH,V_Polygon 32.2,,10247,Bänschstraße 91,16,13,16,1,2,2,ICP Immobilia Concept Property Management GmbH  - V_Polygon 32.2 (S1) - verloren,V_Polygon 32.2,Friedrichshain-Kreuzberg,Friedrichshain
ICP Immobilia Concept Property Management GmbH,V_Polygon 139.4,,12049,Hermannstraße 31,23,32,32,4,4,2,ICP Immobilia Concept Property Management GmbH  - V_Polygon 139.4 (S1) - verloren,V_Polygon 139.4,Neukölln,Neukölln
ICP Immobilia Concept Property Management GmbH,V_Polygon 139.1-5 (Ausdehnung),,12051,Emser Straße 101,20,30,30,0,1,1,ICP Immobilia Concept Property Management GmbH  - V_Polygon 139.5 (S1) - verloren,V_Polygon 139.1-5 (Ausdehnung),Neukölln,Neukölln
ICP Immobilia Concept Property Management GmbH,Cluster 83,ABZ III,10627,Bismarckstraße 87,79,79,,10,,2,ICP Immobilia Concept Property Management GmbH - Cluster 83 (N1) (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
ICP Immobilia Concept Property Management GmbH,Cluster 83,ABZ III,10627,Bismarckstraße 89,19,24,,3,,3,ICP Immobilia Concept Property Management GmbH - Cluster 83 (N1) (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
ICP Immobilia Concept Property Management GmbH,Cluster 05,ABZ III,10713,Sigmaringer Straße 27,15,20,,1,,,ICP Immobilia Concept Property Management GmbH - Cluster 05 (N1) (S1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
ICP Immobilia Concept Property Management GmbH,Cluster 04,ABZ V,10629,Dahlmannstraße 19,16,,16,6,6,,ICP Immobilia Concept Property Management GmbH  - Cluster 04 (S1) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Charlottenburg
ICP Immobilia Concept Property Management GmbH,Cluster 04,,10707,Brandenburgische Straße 54A,,,,,,,ICP Immobilia Concept Property Management GmbH - Cluster 04 (M1) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Wilmersdorf
ICP Immobilia Concept Property Management GmbH,Cluster 04,,10707,Brandenburgische Straße 54,1,,15,0,0,,ICP Immobilia Concept Property Management GmbH - Cluster 04 (M1) - verloren,Cluster 04,Charlottenburg-Wilmersdorf,Wilmersdorf
IDEAL Lebensversicherung a.G.,V_Polygon 80.1-2 (Ausdehnung),,10555,Stromstraße 67A,15,17,17,0,0,,IDEAL Lebensversicherung a.G. - V_Polygon 80.2 - 33 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
IDEAL Lebensversicherung a.G.,V_Polygon 80.1-2 (Ausdehnung),,10555,Stromstraße 67,17,16,16,0,0,0,IDEAL Lebensversicherung a.G. - V_Polygon 80.2 - 33 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
IDEAL Lebensversicherung a.G.,V_Polygon 80.1,,10557,Melanchthonstraße 22,17,17,17,0,0,,IDEAL Lebensversicherung a.G. - V_Polygon 80.1 - 34 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
IDEAL Lebensversicherung a.G.,V_Polygon 80.1,,10557,Melanchthonstraße 21,15,17,17,0,0,0,IDEAL Lebensversicherung a.G. - V_Polygon 80.1 - 34 (A1) - verloren,V_Polygon 80.1,Mitte,Moabit
IDEAL Lebensversicherung a.G.,Cluster 83,,10587,Ernst-Reuter-Platz 2,0,0,0,6,21,21,IDEAL Lebensversicherung AG Hausverwaltung - Cluster 83 - 53 (M1) - B2B - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
IDEAL Lebensversicherung a.G.,Cluster 83,,10623,Hardenbergstraße 20,0,0,0,9,32,32,IDEAL Lebensversicherung AG Hausverwaltung - Cluster 83 - 53 (M1) - B2B - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
IDEAL Lebensversicherung a.G.,Cluster 83,,10625,Schillerstraße 3,0,0,0,12,12,12,IDEAL Lebensversicherung AG Hausverwaltung - Cluster 83 - B2B - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
IDEAL Lebensversicherung a.G.,Cluster 83,ABZ III,10585,Gierkezeile 18,11,20,,1,,,IDEAL Lebensversicherung a.G. - Cluster 83 - 20 (S1) - verloren,Cluster 83,Charlottenburg-Wilmersdorf,Charlottenburg
idema Hausverwaltung GmbH,Cluster 67,,13088,Indira-Gandhi-Straße 9,8,10,,0,,,idema Hausverwaltung GmbH - Cluster 67 (A1) - verloren,Cluster 67,Pankow,Weißensee
idema Hausverwaltung GmbH,Cluster 10,,13587,Wegscheider Straße 18,17,16,16,0,0,,idema Hausverwaltung GmbH - Cluster 10 - verloren,Cluster 10,Spandau,Hakenfelde
idema Hausverwaltung GmbH,Cluster 10,,13587,Amorbacher Weg 3,15,17,16,1,0,,idema Hausverwaltung GmbH - Cluster 10 - verloren,Cluster 10,Spandau,Hakenfelde
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,V_Polygon 91.2,,13353,Torfstraße 23,44,,44,3,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH - V_Polygon 91.2 - 44 (A1) - verloren,V_Polygon 91.2,Mitte,Wedding
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,V_Polygon 32.3,,10243,Marchlewskistraße 101,11,,10,5,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH -  V_Polygon 32.1 - 10 - verloren,V_Polygon 32.3,Friedrichshain-Kreuzberg,Friedrichshain
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,V_Polygon 32.1,,10245,Grünberger Straße 47,27,,33,2,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH - V_Polygon 32.1 - 33 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,V_Polygon 2.5,ABZ IV,10823,Eisenacher Straße 72,14,18,20,2,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH - Cluster 02 - verloren,V_Polygon 2.5,Tempelhof-Schöneberg,Schöneberg
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,V_Polygon 139.5,,12055,Saalestraße 34,9,,22,1,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH - V_Polygon 139.3 - 22 (A1) - verloren,V_Polygon 139.5,Neukölln,Neukölln
IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH,Cluster 64,,12161,Bundesallee 79A,9,,16,0,0,,IFM Dr.Reinhard Immobilienverwaltungsgesellschaft mbH - Cluster 64 - 16 WE - verloren,Cluster 64,Tempelhof-Schöneberg,Friedenau
ImmoArt Immobilienverwaltung GmbH,Cluster 22,,12159,Handjerystraße 85,11,12,12,1,1,1,ImmoArt Immobilienverwaltung GmbH - Cluster 22 - verloren,Cluster 22,Tempelhof-Schöneberg,Friedenau
ImmoArt Immobilienverwaltung GmbH,Cluster 03,ABZ III,10629,Wielandstraße 17,27,17,35,4,0,,ImmoArt Immobilienverwaltung GmbH - Cluster 03 - 35 (M1) - verloren,Cluster 03,Charlottenburg-Wilmersdorf,Charlottenburg
IMMOBELLA GmbH,V_Polygon 6.1-3 (Ausdehnung),,14057,Holtzendorffstraße 20,48,49,,5,,,IMMOBELLA GmbH - V_Polygon 6.2 (A1) - verloren,V_Polygon 6.1-3 (Ausdehnung),Charlottenburg-Wilmersdorf,Charlottenburg
Immobilien Ansorge OHG,V_Polygon 2.4,ABZ IV,10825,Wartburgstraße 16,11,,14,1,,,Immobilien Ansorge OHG - V_Polygon 2.4 (M1) - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Immobilien Ansorge OHG,V_Polygon 2.4,ABZ IV,10825,Berchtesgadener Straße 20,12,14,12,0,,,Immobilien Ansorge OHG - V_Polygon 2.4 (M1) - verloren,V_Polygon 2.4,Tempelhof-Schöneberg,Schöneberg
Immobilien- und Grundstücksverwaltung Petra Sauerwein,Cluster 37,,10365,Herzbergstraße 78,0,18,,0,,,Immobilien- und Grundstücksverwaltung Petra Sauerwein - Cluster 37 - verloren,Cluster 37,Lichtenberg,Lichtenberg
Immobilienverwaltung Konrad Knade,Cluster 02,,10825,Martin-Luther-Straße 111,24,30,24,6,5,3,IMMOBILIENVERWALTUNG KONRAD KNADE - CLUSTER 02 - 33 (S1) - verloren,Cluster 02,Tempelhof-Schöneberg,Schöneberg
Immobilienverwaltung Riebeling GmbH,V_Polygon 79.1,,13347,Gerichtstraße 65,63,63,,1,,1,Immobilienverwaltung Riebeling GmbH - V_Polygon 79.1 - 111 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Immobilienverwaltung Riebeling GmbH,V_Polygon 79.1,,13347,Gerichtstraße 67,48,48,,0,,,Immobilienverwaltung Riebeling GmbH - V_Polygon 79.1 - 111 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Immobilienverwaltung Riebeling GmbH,V_Polygon 79.1,,13347,Gerichtstraße 66,63,63,,1,,,Immobilienverwaltung Riebeling GmbH - V_Polygon 79.1 - 111 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Immobilienverwaltung Riebeling GmbH,V_Polygon 79.1,,13347,Gerichtstraße 68,110,110,,1,,1,Immobilienverwaltung Riebeling GmbH - V_Polygon 79.1 - 111 (A1) - verloren,V_Polygon 79.1,Mitte,Gesundbrunnen
Immobilienverwaltung Riebeling GmbH,V_Polygon 2.3,ABZ V,10715,Wexstraße 15,1,65,,1,,,Immobilienverwaltung Riebeling GmbH - V_Polygon 2.3 (M1) - verloren,V_Polygon 2.3,Charlottenburg-Wilmersdorf,Wilmersdorf
Immobilienverwaltung Riebeling GmbH,V_Polygon 2.3,ABZ V,10715,Wexstraße 13,1,65,,1,,,Immobilienverwaltung Riebeling GmbH - V_Polygon 2.3 (M1) - verloren,V_Polygon 2.3,Charlottenburg-Wilmersdorf,Wilmersdorf
Immobilienverwaltung Riebeling GmbH,V_Polygon 2.3,ABZ V,10715,Wexstraße 14,1,65,,0,,1,Immobilienverwaltung Riebeling GmbH - V_Polygon 2.3 (M1) - verloren,V_Polygon 2.3,Charlottenburg-Wilmersdorf,Wilmersdorf
Immo cum laude GmbH,V_Polygon 75.3 (Vorvermarktung abgebrochen),,10119,Linienstraße 77,10,10,,3,,3,Immo cum laude GmbH - V_Polygon 75.3 - 13 (A1) - verloren / leer,V_Polygon 75.3 (Vorvermarktung abgebrochen),Mitte,Mitte
IMV Objektverwaltungs-GmbH,V_Polygon 76.1,,10115,Rheinsberger Straße 15,13,13,13,0,0,,IMV Objektverwaltungs-GmbH - V_Polygon 76.1 - 13 (A1) - verloren,V_Polygon 76.1,Mitte,Mitte
IMV Objektverwaltungs-GmbH,V_Polygon 70.2 (Vorvermarktung abgebrochen),,10407,Am Friedrichshain 4,23,,23,0,0,,IMV Objektverwaltungs-GmbH - V_Polygon 70.2 - 23 (A1) - verloren,V_Polygon 70.2 (Vorvermarktung abgebrochen),Pankow,Prenzlauer Berg
Inga Peters Hausverwaltung,V_Polygon 80.2,,10551,Wilhelmshavener Straße 31,33,39,,1,,,Inga Peters Hausverwaltung - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.2,Mitte,Moabit
Ingrid und Konrad Beyer Eigentümer,V_Polygon 80.1-2 (Ausdehnung),,10551,Turmstraße 46,14,17,16,4,4,,Ingrid und Konrad Beyer Eigentümer - V_Polygon 80.2 (A1) - verloren,V_Polygon 80.1-2 (Ausdehnung),Mitte,Moabit
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Frankfurter Allee 76,17,18,,3,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Frankfurter Allee 74,16,18,,0,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Frankfurter Allee 72,19,12,,1,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Kinzigstraße 16,15,18,,1,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Kinzigstraße 14,18,18,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Kinzigstraße 12,13,18,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Kinzigstraße 10,17,18,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 42,10,10,,1,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 41,0,10,,2,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 40,14,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 39,12,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 38,12,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 37,13,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 36,12,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1 (Ausdehnung),,10247,Jungstraße 35,11,12,,0,,,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1 (Ausdehnung),Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 68,17,12,,2,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 64,11,12,,0,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 62,13,18,,2,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 48,13,10,,1,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 36C,18,18,,1,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 36B,15,18,,1,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 36A,21,18,,0,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 34,21,21,,1,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 32,16,21,,1,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 30,21,21,,2,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 28,15,14,,0,,2,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Niederbarnimstraße 27,26,14,,2,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Frankfurter Allee 100,13,30,,15,,12,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IQ Bau GmbH,V_Polygon 32.1,,10247,Mainzer Straße 26,30,18,,2,,1,IQ Bau GmbH - V_Polygon 32.1 - verloren,V_Polygon 32.1,Friedrichshain-Kreuzberg,Friedrichshain
IWS Verwaltung GmbH,Cluster 67,,10369,Storkower Straße 175,0,,0,5,4,1,IWS Verwaltung GmbH - Cluster 67 (A1) - 4 - verloren,Cluster 67,Lichtenberg,Fennpfuhl
J&K Fahrzeug Service Meisterbetrieb Autoreparatur,Cluster 05,ABZ III,10713,Brandenburgische Straße 82,6,8,,2,,1,J&K Fahrzeug Service Meisterbetrieb Autoreparatur - Cluster 05 (N1) - verloren,Cluster 05,Charlottenburg-Wilmersdorf,Wilmersdorf
